dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
26/11/2020,S(A)K,תהלים קיא א,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
26/11/2020,S(A)K,תהלים קו א,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
26/11/2020,S(A)K,משלי ג יב,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
26/11/2020,S(A)K,תהלים ס ב,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
26/11/2020,S(A)K,תהלים מז ה,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
26/11/2020,S(A)K,משלי יט ז,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
26/11/2020,S(A)K,תהלים לה י,Added {{מ:מקף אפור}} after word with merkha in Sifrei Emet.,,
25/11/2020,S(A)K,תהלים צב ח,Added maqaf and changed documentation note.,,
24/11/2020,S(A)K,בראשית כח טז,Updated documentation note.,,
24/11/2020,S(A)K,תהלים פט ו,Changed documentation note regarding placement of zinnorit.,,
24/11/2020,S(A)K,תהלים קט כא,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים קו מז,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים צט ט,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים צט ה,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים צו י,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים פד ט,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים פא יא,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
24/11/2020,S(A)K,תהלים פ כ,"Moved zinnorit from ה to י as found in A, and changed documentation note.",,
23/11/2020,S(A)K,משלי ל ט,"Moved ""oleh"" from ה to י as usually found in A (although not in this case), added documentation note.",,
23/11/2020,S(A)K,תהלים קמב ו,"Moved ""oleh"" from ה to י as found in A, and changed documentation note.",,
23/11/2020,S(A)K,תהלים קל ז,"Moved ""oleh"" from ה to י as found in A, and changed documentation note.",,
23/11/2020,S(A)K,תהלים קד א,"Moved ""oleh"" from ה to י as found in A, and changed documentation note.",,
23/11/2020,S(A)K,תהלים פה ט,"Moved ""oleh"" from ה to י as usually found in A (although not in this case), added documentation note.",,
23/11/2020,S(A)K,תהלים פד ג,"Moved ""oleh"" from ה to י as found in A, and changed documentation note.",,
23/11/2020,S(A)K,תהלים כז יד,"Moved ""oleh"" from ה to י as found in A, and changed documentation note.",,
19/11/2020,BD,איכה א ו,embrace trailing maqaf in מִבַּת־,,
19/11/2020,BD,שמואל ב כא יב,"Use new מ:כו""ק של שתי מילים בהערה אחת template",,
17/11/2020,BD,איוב ז יא,Use separate sin dot in אֶחֱשׇׂ֫ךְ,,
17/11/2020,BD,ישעיהו כו כ,Remove extra 2 chars at end: space & sof pasuq.,,
17/11/2020,S(A)K,ירמיהו ד יט,Changed legarmeih to paseq.,,
17/11/2020,S(A)K,יהושע כב כב,Changed legarmeih to paseq.,,
17/11/2020,S(A)K,איוב לח יב,"Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,משלי כא כט,"Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,יחזקאל מב ט,"Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,ירמיהו מח כ,"Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,ירמיהו יד יד,"Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,"מל""א יז טו","Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,"שמ""ב כא יב","Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,"שמ""ב ה ב","Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,"שמ""א כ ב","Used template {{מ:כו""ק של שתי מילים בהערה אחת}} for two adjacent qeri ukhtiv words which appear together in a single masoretic note.",,
17/11/2020,S(A)K,ישעיהו לו יב,"Used template {{מ:כו""ק קרי שונה מהכתיב בשתי מילים}} for one ketiv word read as an alternative qeri composed of two words (שיניהם read as מימי רגליהם).",,
17/11/2020,S(A)K,"מל""ב יח כז","Used template {{מ:כו""ק קרי שונה מהכתיב בשתי מילים}} for one ketiv word read as an alternative qeri composed of two words (שניהם read as מימי רגליהם).",,
17/11/2020,S(A)K,יחזקאל ט יא,"Used template {{מ:כו""ק קרי שונה מהכתיב בשתי מילים}} for one ketiv word read as an alternative qeri composed of two words (כאשר read as ככל אשר).",,
17/11/2020,S(A)K,"דה""ב לד ו","Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,איכה ד ג,"Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,איכה א ו,"Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,ישעיהו מד כד,"Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,ישעיהו ט ו,"Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,"שמ""א כד,ח","Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,"שמ""א ט,א","Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,שופטים טז כה,"Used template {{מ:כו""ק כתיב תרתין מילין וקרי מילה חדה}} for this item in the masoretic list of 8 words written as two but read as one.",,
17/11/2020,S(A)K,"דה""א ט ד","Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין בין שני מקפים}} for this item in the masoretic list of 15 words written as one but read as two between two maqafim, along with related tweaks to the documentation note.",,
17/11/2020,S(A)K,נחמיה ב יג,"Used template {{מ:קו""כ כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two following maqaf.",,
17/11/2020,S(A)K,"דה""א כז יב","Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,איוב מ ו,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,איוב לח א,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,תהלים קכג ד,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,תהלים נה טז,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two; legarmeih set to ""space=no"" and the new template set to ""space=yes"" and templates {{ר0}} which immediately follows set to ""space=no"", all so that the square bracket at the end will appear before the space.",,
17/11/2020,S(A)K,תהלים י י,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,יחזקאל ח ו,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,ירמיהו יח ג,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,ירמיהו ו כט,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,ישעיהו ג טו,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,דברים לג ב,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,שמות ד ב,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,בראשית ל יא,"Used template {{מ:כו""ק כתיב מילה חדה וקרי תרתין מילין}} for this item in the masoretic list of 15 words written as one but read as two.",,
17/11/2020,S(A)K,ישעיהו כו כ,"Changed documentation note in wake of using {{מ:כו""ק בין שני מקפים}}.",,
15/11/2020,S(A)K,רות ד טו,"Changed ZWJ and medial meteg in ""אֲֽשֶׁר־"" to regular hataf patah and meteg.",,
11/11/2020,S(A)K,איוב ז יא,"Changed קמץ to קמץ קטן in the two words joined by maqaf ""אֶחֱשׇׂ֫ךְ־פִּ֥י"" (following logic as well as several accurate Sephardic recordings).",,
11/11/2020,S(A)K,תהלים ע ו,Regular maqaf and update to documentation note.,,
10/11/2020,S(A)K,תהלים מ יח,"Changed קמץ to קמץ קטן in the two words joined by maqaf ""יַחֲשׇׁ֫ב־לִ֥י"" (following logic as well as several accurate Sephardic recordings), plus removal of meteg in yod.",,
08/11/2020,S(A)K,תהלים עז יז,Changed documentation note.,,
08/11/2020,S(A)K,רשימה,"Added {{מ:מקף אפור}} to 50 verses in Sifrei Emet that are listed in note 82 at the ""where"" link.",,
08/11/2020,S(A)K,תבניות templates,Added {{מ:מקף אפור}} to the list of templates.,,
08/11/2020,S(A)K,משלי ל יט,"Added maqaf between the two words accented by ""oleh ve-yored"", as found in the Aleppo Codex.",,
08/11/2020,S(A)K,משלי ל יז,"Added maqaf between the two words accented by ""oleh ve-yored"", as found in the Aleppo Codex.",,
08/11/2020,S(A)K,משלי כג ז,"Added maqaf between the two words accented by ""oleh ve-yored"", as found in the Aleppo Codex.",,
08/11/2020,S(A)K,משלי ה יט,"Added maqaf between the two words accented by ""oleh ve-yored"", as found in the Aleppo Codex.",,
08/11/2020,S(A)K,תהלים קטו א,"Added maqaf between the two words accented by ""oleh ve-yored"", as found in the Aleppo Codex.",,
03/11/2020,BD,איוב לח טו,use מ:אות תלויה not אות תלויה במקרא,,
30/10/2020,S(A)K,משלי כא כט,Unified two sequential קרי וכתיב based on masorah in A.,,
30/10/2020,S(A)K,ירמיהו יד יד,Unified two sequential קרי וכתיב based on masorah in A.,,
28/10/2020,S(A)K,דברי הימים ב כד כ,"Corrected vocalization in letter ו of ""אֶת־מִצְוֺ֤ת"".",,
21/10/2020,S(A)K,איוב טז ד,Changed {{ר4}} to {{ר3}}.,,
21/10/2020,S(A)K,תהלים טו ה,Used {{ר3}} for the last two stiches.,,
14/10/2020,S(A)K,תהלים נז ט,"Add documentation note to ""ע֭וּרָ֥ה""; MGH reads ""ע֭וּרָֽה"".",,
14/10/2020,S(A)K,תהלים קח יא,"Changed tarha to dehi in ""יֹ֭בִלֵנִי"".",,
14/10/2020,S(A)K,תהלים עג א,"Add documentation note to ""ט֖וֹב"" (with tarha); simanim and Breuer Keter Yerushalayim show ""ט֭וֹב"" with dehi.",,
14/10/2020,S(A)K,תהלים מ טז,"Added tsinorit accent to ""הֶ֘אָ֥ח"" (using U+0598 for correct positioning).",,
14/10/2020,S(A)K,תהלים קו לט,"Correct positioning of accent (dot for revi`a) in ""וַ֝יִּזְנ֗וּ"".",,
14/10/2020,S(A)K,תהלים נב יא,"Removed superfluous meteg from ""וַאֲקַוֶּ֥ה"".",,
14/10/2020,S(A)K,תהלים נב ז,"Changed pashta to azla in ""וְשֵׁרֶשְׁךָ֨"".",,
14/10/2020,S(A)K,תהלים לא טז,"Removed superfluous meteg from ""וּמֵֽרֹדְפָֽי׃"".",,
13/10/2020,S(A)K,דברי הימים א כ ד,"Added maqaf to ""אַחֲרֵי־כֵ֔ן"".",,
13/10/2020,S(A)K,דברי הימים ב כ יג,"Qamats qatan instead of holam in ""וְכׇ֨ל־יְהוּדָ֔ה"".",,
13/10/2020,S(A)K,דברי הימים א ח לא,"Add silluq to ""וָזָֽכֶר׃"".",,
13/10/2020,S(A)K,דברי הימים א יא כ,"Mahpakh in ""ה֤וּא"" rather than yativ.",,
13/10/2020,S(A)K,דברי הימים ב יט ב,"Added double cantillation in ""בֶן־חֲנָ֘נִי֮"".",,
13/10/2020,S(A)K,דברי הימים ב ה יב,"Added double cantillation in ""לִ֠ידֻת֠וּן"".",,
13/10/2020,S(A)K,דברי הימים ב כ ט,"Correct positioning of accent in ""לִפְנֵ֨י"".",,
11/10/2020,S(A)K,ירמיהו מד יט,"Added rafe to ""לְהַ֣עֲצִבָ֔הֿ"".",,
11/10/2020,S(A)K,ירמיהו יז יד,Fixed typo in column C.,,
11/10/2020,S(A)K,ירמיהו כ יז,"Added rafe to ""וְרַחְמָ֖הֿ"".",,
11/10/2020,S(A)K,ירמיהו נ יא,"Mahpakh in ""כִּ֤י"" rather than yativ.",,
11/10/2020,S(A)K,ירמיהו לז ז,"Mahpakh in ""כֹּ֤ה"" rather than yativ.",,
11/10/2020,S(A)K,ירמיהו נב לא,"Correct positioning of accent in ""בִּשְׁנֵ֤ים"".",,
11/10/2020,S(A)K,מלכים ב יח כז,"Correct positioning of accent in ""מֵימֵ֥י"".",,
09/10/2020,S(A)K,מלכים ב יט לא,"Correct positioning of accent in ""צְבָא֖וֹת"".",,
09/10/2020,S(A)K,שמואל א יד לד,"Correct positioning of accent in ""בְיָד֛וֹ"".",,
09/10/2020,S(A)K,שמואל ב טו לד,"Changed pashta to qadma in ""עַבְדְּךָ֨"".",,
08/10/2020,S(A)K,שמואל ב כב מ,Slight tweak to documentation note.,,
02/10/2020,S(A)K,תבניות templates,Added {{מ:כל קמץ קטן מרכא}} to the template list.,,
01/10/2020,BD,תהלים לה י,{{מ:כל קמץ קטן מרכא}},,
01/10/2020,BD,משלי יט ז,{{מ:כל קמץ קטן מרכא}},,
01/10/2020,BD,תהלים כב כו,denorm dagesh order 2x in תְּֽהִלָּ֫תִ֥י,,
26/09/2020,S(A)K,ירמיהו ב לג,Remove dagesh from dalet in דַרְכֵּ֖ךְ,,
22/09/2020,S(A)K,דניאל ד כא,Change to documentation note.,,
20/09/2020,BD,מלכים א יב כח,Use patach instead of qamats in מ:ירושלם.,,
16/09/2020,S(A)K,יחזקאל כ לא,"Add to existing doc note: כגון: ויקרא כה,מו; במדבר כא,א",,
14/09/2020,S(A)K,יחזקאל כ לא,Correct אזלא to קדמא in doc note. Add contents of column E to doc note.,"ראו ייבין כח.1 עמ' 232. זה המקום היחיד בכל המקרא שיש בו שתי טעמים מחברים בהברה אחת. הקדמא קודמת למהפך בקריאה, כמו בעוד שש מקומות במקרא (שבהם הקדמא במקום הראוי לגעיה והמהפך בהברת הטעם)",
14/09/2020,S(A)K,זכריה ה ג,"Remove meteg from וְכׇֽ֨ל, leaving qadma.",,
12/09/2020,BD,ישעיהו לו ב,Use new מ:ירושלמה template.,,
12/09/2020,BD,יחזקאל ח ג,Use new מ:ירושלמה template.,,
12/09/2020,BD,מלכים א י ב,Use new מ:ירושלמה template.,,
12/09/2020,BD,מלכים ב ט כח,Use new מ:ירושלמה template.,,
12/09/2020,BD,מלכים ב י כח,??? Cannot determine what this change was.,Irrelevant. Text accidentally erased and replaced (SAK).,
11/09/2020,BD,צפניה ב טו,Use new מ:גרשיים ותלישא גדולה template.,,
11/09/2020,BD,מלכים ב יז יג,Use new מ:גרש ותלישא גדולה template.,,
11/09/2020,BD,בראשית ה כט,Use new מ:גרשיים ותלישא גדולה template.,,
11/09/2020,BD,ויקרא י ד,Use new מ:גרשיים ותלישא גדולה template.,,
11/09/2020,BD,יחזקאל מח י,Use new מ:גרש ותלישא גדולה template. Also make geresh plain not muqdam.,,
08/09/2020,BD,216 verses,Use g3-then-◆ Unicode order for revia mugrash.,,
08/09/2020,BD,משלי ד טז,"Use hiriq, meteg, dehi (HMD) instead of D{{2-trope|H|M}}.",,
05/09/2020,S(A)K,ישעיהו לו יב,"Slight tweak to args of קו""כ מימי רגליהם template.",,
05/09/2020,S(A)K,מלכים ב יח כז,"Slight tweak to args of קו""כ מימי רגליהם template.",,
04/09/2020,S(A)K,ישעיהו לו יב,"Use new קו""כ מימי רגליהם template.",,
04/09/2020,S(A)K,מלכים ב יח כז,"Use new קו""כ מימי רגליהם template.",,
31/08/2020,BD,דברי הימים ב כו ג,Qamats [gadol] not qamats qatan in מ:ירושלם.,,
30/08/2020,S(A)K,שמות כ ב,"In doc note on ל, remove meteg, leaving merkha as the sole trope on yod in lo-yihyeh-lach (לא יהיה לך). Plus other edits where it is not easy to see what changed. Note that there were July 7 & June 6 edits, too.",,
30/08/2020,S(A)K,דברים ה ו,Parallel edits to those in שמות?,,
29/08/2020,BD,דברים ה ו,Use dual trope template instead of direct ZWJ? Not easy to see what changed.,,
