dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
19/02/2023,S(A)K,"יחזקאל יח,כא","Added dagesh to the letter ק in ""אֶת־כׇּל־חֻקּוֹתַ֔י"" (as found in AC and LC). Credit to Daniel Holman.",,
19/02/2023,S(A)K,"יחזקאל יח,ב","Added dagesh to the letter ת in ""תִּקְהֶֽינָה"" (as found in AC and LC). Credit to Daniel Holman.",,
19/02/2023,S(A)K,"יחזקאל יא,א","Replaced tippeha with merkha in ""שָׂרֵ֥י"" (as found in AC and LC [in LC the line is straight but merkha is intended]). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו מח,כח","Removed dagesh from the letter ב in ""בַסֶּ֔לַע"" (as found in AC and LC). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו מח,ז","Added the letter י to the qeri ""יַחְדָּֽיו"" (as found in AC and LC). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו מח,ו","In ""וְתִֽהְיֶ֔ינָה"" replaced accent zaqeph gadol with zaqeph qatan (as found in AC and LC). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו לו,כט","Added dagesh in the letter ת of ""תֹּאמַ֔ר"" (as found in AC and LC). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו לד,ג","In ""לֹ֤א"" replaced accent yativ with mahpah (as found in AC and LC). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו יח,טז","Added the letter ו to the qeri ""שְׁרִיק֣וֹת"" (as found in AC and LC). Credit to Daniel Holman.",,
17/02/2023,S(A)K,"ירמיהו יג,יג","Qamaz instead of patah in ""יְרֽוּשָׁל{{מ:ירושלם|ָ|֖}}ם"" (as found in AC and LC). Credit to Daniel Holman.",,
16/02/2023,S(A)K,"ירמיהו ד,יט","Added the letter ו to the qeri ""אוֹחִ֜ילָה"" (as found in AC and LC); also changed the order of appearance to qeri (first) and ketiv (second) by using תבנית:קו""כ. Credit to Daniel Holman.",,
16/02/2023,S(A)K,"דה""ב כז,ז","Added prepositive pashta in ""וְיֶ֙תֶר֙"" (as found in AC and LC). Credit to Daniel Holman.",,
16/02/2023,S(A)K,"מיכה ד,ח","Removed superflous maqaph between the words ""לְבַ֥ת יְרוּשָׁל{{מ:ירושלם|ָ|ֽ}}ם"" (as found in LC [AC not extant]). In the printed versions the word ""לְבַ֥ת"" lacks an independent accent and is therefore followed by maqaph (and thence to BHS). Credit to Daniel Holman.",,
16/02/2023,S(A)K,"שמ""ב יט,מא","Added the letter י to the qeri ""הֶעֱבִ֣ירוּ"" (as found in AC and LC). Credit to Daniel Holman.",,
16/02/2023,S(A)K,"שמ""ב יט,לג","Added dagesh in ב of ""בְּשִׁיבָת֣וֹ"" (as found in AC and LC). Credit to Daniel Holman.",,
16/02/2023,S(A)K,"שמ""ב טו,כו","Accents tippeha, merkha, silluq in ""כַּאֲשֶׁ֖ר ט֥וֹב בְּעֵינָֽיו"" at the end of the verse (as found in AC and LC [in LC the line in ""ט֥וֹב"" is straight but merkha is intended]). Credit to Daniel Holman.",,
